Source	EE ID	Occupation	Political rank	Military rank	RecipientLetterCount by EE ID	AuthorLetterCount by EE ID	Total Letters	Full Name	Full Name Reversed	Particule?	Aristo title	Clerical title	Wikipedia URL	VIAF ID	VIAF URL	Wikipedia Image Link	Knowledge Network	Social Network	Professional Network	Religious Network	Academies	Royal Academy	Institut de France	Academy_single	Academy_single_provincial	Salons	GenderGroup	Nationality	Birth Date	Birth Year	Death Date	Death Year	Birth City	Birth Country	Death City	Death Country
EE	ducasjean0001368	"army officer,soldier,historian"		officer	0	1	1	Jean Du Castre d'Auvigny	"Du Castre d'Auvigny, Jean"	Yes				39387674	http://viaf.org/39387674		Letters_Literary	Military									Male	French	1712-00-00	1712	1743-00-00	1743		unknown		unknown
EE	duranlaure024181	"printer,bookseller"			0	4	4	Laurent Durand	"Durand, Laurent"					73937092	http://viaf.org/73937092				Publishing								Male	French	1712-00-00	1712	1763-00-00	1763		France		unknown
EE	grangjeana001792	"printer,typefounder"			0	1	1	Jean Augustin Grangé	"Grangé, Jean Augustin"										"Trade-merchant, Artisan, Publishing"								Male	French	1712-00-00	1712				France		unknown
"EE, CNRS-D"	diderdenis001311	"author,philosopher,encyclopaedist"			21	31	52	Denis Diderot	"Diderot, Denis"				http://en.wikipedia.org/wiki/Denis_Diderot	54146831	http://viaf.org/54146831	upload.wikimedia.org/wikipedia/commons/thumb/6/63/Denis_Diderot_111.PNG/220px-Denis_Diderot_111.PNG	"Letters, Letters_Philosophical, Letters_Literary"		Cultural		Prussian Academy of Sciences			Yes		"Holbach, Encyclopedistes, Boufflers, Necker_Clery, Graffigny_dEnfer"	Male	French	10/5/1713	1713	7/31/1784	1784	Langres	France	Paris	France
EE	manoecharl002470	lawyer			47	1	48	Charles Manoël de Végobre	"Manoël de Végobre, Charles"	Yes									Legal								Male	French	8/20/1713	1713	1801-00-00	1801	Lasalle	France		unknown
"EE, CNRS-D"	amarzjeanb000840	"general,army officer,soldier,historian"		high-ranking_general	14	4	18	"Jean Baptiste Joseph Damarzit de Sahuguet, baron d'Espagnac"	"Damarzit de Sahuguet, Jean Baptiste Joseph, baron d'Espagnac"	Yes	baron			7601633	http://viaf.org/7601633		Letters_Literary	"Aristocracy, Elite, Military, Government"									Male	French	3/25/1713	1713	2/28/1783	1783	Brives	France	Paris	France
EE	duchemarie023577	bookseller			13	3	16	Marie Antoinette Duchesne	"Duchesne, Marie Antoinette"										Publishing								Female	French	1713-00-00	1713	1793-00-00	1793		France		unknown
EE	brossclaud000918	"army officer,soldier,aristocrat"		officer	5	3	8	"Claude Charles de Brosses, comte de Tournay"	"Brosses, Claude Charles de, comte de Tournay"	Yes	comte							"Military, Aristocracy"									Male	French	3/18/1713	1713	1/21/1793	1793	Dijon	France		unknown
EE	marqupierr002831	diplomat	diplomat		8	0	8	"Pierre Paul d'Ossun, marquis d'Ossun"	"Ossun, Pierre Paul d', marquis d'Ossun"	Yes	marquis							"Government, Aristocracy, Elite"									Male	French	1713-00-00	1713	1788-00-00	1788		France		unknown
EE	raynaguill002931	"historian,journalist"			7	0	7	Guillaume Thomas François Raynal	"Raynal, Guillaume Thomas François"				http://en.wikipedia.org/wiki/Guillaume_Thomas_François_Raynal	89354395	http://viaf.org/89354395	http://upload.wikimedia.org/wikipedia/commons/8/85/Guillaume_Raynal2.jpg	"Letters_Literary, Letters_Philosophical"				"Royal Society, Prussian Academy of Sciences, Academy of La Rochelle, Academy of Lyon"		Yes			"Holbach, Geoffrin, Helvetius, Epinay, Necker_Clery"	Male	French	1713-00-00	1713	1796-00-00	1796		France		unknown
"EE, CNRS-D"	clairalexi023621	mathematician			3	4	7	Alexis Claude Clairaut	"Clairaut, Alexis Claude"				http://en.wikipedia.org/wiki/Alexis_Clairaut	49309588	http://viaf.org/49309588	upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Alexis_Clairault.jpg/250px-Alexis_Clairault.jpg	Sciences_Mathematical		Cultural		"Académie des sciences, Royal Society"	Yes					Male	French	5/7/1713	1713	5/17/1765	1765	Paris	France	Paris	France
EE	marqulouis002379	"general,army officer,statesman,soldier"	minister	high-ranking_general	3	2	5	"Louis François de Monteynard, marquis de Monteynard"	"Monteynard, Louis François de, marquis de Monteynard"	Yes	marquis		http://en.wikipedia.org/wiki/Louis_Fran%C3%A7ois_de_Monteynard					"Government, Elite, Military, Aristocracy"									Male	French	5/13/1713	1713	5/3/1791	1791	La Pierre	France	Paris	France
EE	uriotjosep003385	"actor,playwright,theatre director"			4	1	5	Joseph Uriot	"Uriot, Joseph"					29674758	http://viaf.org/29674758		Letters_Literary		"Artist, Cultural"								Male	French	1713-00-00	1713	1788-10-00	1788	Nancy	France	Stuttgart	Germany
EE	laurepierr002216	"civil engineer,industrialist"			3	0	3	"Pierre Joseph Laurent, marquis de Villedeuil"	"Laurent, Pierre Joseph, marquis de Villedeuil"	Yes	marquis							"Elite, Government, Aristocracy"	"Other, Finance-banking"								Male	French	1713-12-00	1713	12/12/1773	1773	Auberchicourt	France	Paris	France
EE	noaillouis002373	"general,army officer,soldier,aristocrat"		high-ranking_general	1	2	3	"Louis de Noailles, duc de Noailles"	"Noailles, Louis de, duc de Noailles"	Yes	duc			100205002	http://viaf.org/100205002			"Elite, Military, Aristocracy"									Male	French	4/21/1713	1713	8/22/1793	1793	Versailles	France	Saint-Germain-en-Laye	France
EE	dumesmarie002475	actress			1	1	2	Marie Françoise Dumesnil	"Dumesnil, Marie Françoise"				http://en.wikipedia.org/wiki/Marie_Dumesnil	12413322	http://viaf.org/12413322	upload.wikimedia.org/wikipedia/commons/thumb/b/be/DumesnilAthalie.jpg/200px-DumesnilAthalie.jpg	Letters_Literary		"Artist, Cultural"								Female	French	1/2/1713	1713	2/20/1803	1803	Paris	France	Paris	France
EE	felmarie00001535	singer			2	0	2	Marie Fel	"Fel, Marie"				http://en.wikipedia.org/wiki/Marie_Fel	275030	http://viaf.org/275030	upload.wikimedia.org/wikipedia/commons/thumb/8/8c/MarieFel.jpg/220px-MarieFel.jpg			"Artist, Cultural"							"Quinault, Graffigny_dEnfer"	Female	French	10/24/1713	1713	2/2/1794	1794	Bordeaux	France	Paris	France
EE	jelyopierr023441	"singer,opera singer"			1	1	2	Pierre Jélyotte	"Jélyotte, Pierre"										"Artist, Cultural"								Male	French	4/13/1713	1713	1789-00-00	1789	Lasseube	France		unknown
EE	affrylouis002376	"general,army officer,soldier"		high-ranking_general	1	0	1	"Louis Auguste Augustin d'Affry, comte d'Affry"	"Affry, Louis Auguste Augustin d', comte d'Affry"	Yes	comte			187531692	http://viaf.org/187531692			"Aristocracy, Elite, Military, Government"									Male	French	1713-00-00	1713	1793-00-00	1793	Versailles	France	Saint-Barthélémy	Switzerland
EE	dauveantoi024550	"musician,composer,violinist"			1	0	1	Antoine Dauvergne	"Dauvergne, Antoine"				http://en.wikipedia.org/wiki/Antoine_Dauvergne	19816231	http://viaf.org/19816231				"Artist, Cultural"								Male	French	1713-00-00	1713	1797-00-00	1797		France		unknown
EE	pierrjeanb023214	"painter,artist"			1	0	1	Jean Baptiste Marie Pierre	"Pierre, Jean Baptiste Marie"				http://en.wikipedia.org/wiki/Jean-Baptiste_Marie_Pierre	56688108	http://viaf.org/56688108	upload.wikimedia.org/wikipedia/commons/thumb/8/83/Guillaume_Voiriot_-_Portrait_of_Jean-Baptiste_Marie_Pierre.jpg/250px-Guillaume_Voiriot_-_Portrait_of_Jean-Baptiste_Marie_Pierre.jpg			Artist							Geoffrin	Male	French	1713-00-00	1713	1789-00-00	1789		France		unknown
CNRS-D					0	0	0	Jacques-Germain Soufflot	"Soufflot, Jacques-Germain"				http://en.wikipedia.org/wiki/Jacques-Germain_Soufflot	64012035	http://viaf.org/64012035	upload.wikimedia.org/wikipedia/commons/thumb/4/45/Soufflot.jpg/250px-Soufflot.jpg		"Government, Elite"	Architecture		"Académie royale d’architecture, Academy of Lyon"	Yes				"Tencin, Geoffrin"	Male	French	1713-00-00	1713	1780-00-00	1780	Irancy	 France	Paris	 France
EE	bourefranc000386	"army officer,soldier,financier"		officer	0	4	4	François Bouret d'Erigny	"Bouret d'Erigny, François"	Yes								"Elite, Military, Government"	Finance-banking								Male	French	1713-00-00	1713	1775-00-00	1775		France		unknown
EE	dutilantoi001392	lawyer			0	1	1	Antoine Charles Du Tillet de Pannes	"Du Tillet de Pannes, Antoine Charles"	Yes									Legal								Male	French	1713-00-00	1713	1783-00-00	1783		unknown		unknown
EE	fardebenig024171	"lawyer,magistrate"	magistrate		0	1	1	Bénigne Fardel de Daix	"Fardel de Daix, Bénigne"	Yes								Government	Legal								Male	French	1713-00-00	1713	1781-00-00	1781		France		unknown
EE	novidjean0024349	"theologian,musicologist"			0	0	0	Jean Novi de Caveirac	"Novi de Caveirac, Jean"	Yes				71417643	http://viaf.org/71417643		"Letters_Literary, Letters_Religious"										Male	French	3/16/1713	1713	1782-00-00	1782	Nîmes	France	Paris	France
EE	riccomarie002966	"actress,author,novelist"			0	4	4	Marie Jeanne Riccoboni	"Riccoboni, Marie Jeanne"				http://en.wikipedia.org/wiki/Marie_Jeanne_Riccoboni	41845684	http://viaf.org/41845684		Letters_Literary		"Cultural, Artist"								Female	French	10/25/1713	1713	1/6/1792	1792	Paris	France	Paris	France
CNRS-D					0	0	0	Nicolas Durival 						7532188	http://viaf.org/7532188												Male	French	1713-00-00	1713	1795-00-00	1795	Commercy	 France	Heillecourt	 France
EE	herbihenri000815	"army officer,soldier,author"		officer	76	10	86	"Henri Lambert d'Herbigny, marquis de Thibouville"	"Herbigny, Henri Lambert d', marquis de Thibouville"	Yes	marquis		http://en.wikipedia.org/wiki/Henri-Lambert_de_Thibouville	29771608	http://viaf.org/viaf/29771608		Letters_Literary	"Aristocracy, Elite, Military"									Male	French	12/4/1714	1714	6/12/1784	1784	Paris	France	Paris	France
EE	froulrenee023606	aristocrat			36	11	47	"Renée Caroline de Froullay, marquise de Créqui"	"Froullay, Renée Caroline de, marquise de Créqui"	Yes	marquise			61554719	http://viaf.org/61554719			"Aristocracy, Elite"									Female	French	1714-00-00	1714	1803-00-00	1803		France		unknown
EE	audibdomin000130	merchant			19	13	32	Dominique Audibert	"Audibert, Dominique"										Trade-merchant								Male	French	1714-00-00	1714				France		unknown
EE	mauperenen001125	statesman	minister		9	9	18	"René Nicolas Charles Augustin de Maupeou, marquis de Morangles"	"Maupeou, René Nicolas Charles Augustin de, marquis de Morangles"	Yes	marquis		http://en.wikipedia.org/wiki/Ren%C3%A9_Nicolas_Charles_Augustin_de_Maupeou					"Aristocracy, Elite, Government"									Male	French	2/25/1714	1714	7/29/1792	1792		France		unknown
EE	loppicharl002368	"lawyer,aristocrat"			16	0	16	"Charles Catherine Loppin, baron de Gemeaux"	"Loppin, Charles Catherine, baron de Gemeaux"	Yes	baron							"Elite, Government, Aristocracy"	Legal								Male	French	11/3/1714	1714	10/25/1805	1805		France		unknown
EE	bourecharl000387	"author,caf√© owner"			3	4	7	Charlotte Bourette	"Bourette, Charlotte"					34588356	http://viaf.org/34588356		Letters_Literary		Cultural								Female	French	1714-00-00	1714	1784-00-00	1784		France		unknown
"EE, CNRS-D"	laporjosep001054	"journalist,critic"			4	3	7	Joseph de La Porte	"La Porte, Joseph de"	Yes				29536176	http://viaf.org/29536176		Letters_Literary		Cultural	Catholic_Jesuit						Graffigny_dEnfer	Male	French	1/21/1714	1714	12/19/1779	1779	Belfort	France		unknown
EE	adhemalexa024140	"courtier,army officer,soldier"		officer	2	2	4	"Alexandre d'Adhémar de Monteil de Brunier, comte de Marsanne"	"Adhémar de Monteil de Brunier, Alexandre d', comte de Marsanne"	Yes	comte							"Aristocracy, Elite, Military, Court"									Male	French	1714-00-00	1714	1792-00-00	1792		France		unknown
"EE, CNRS-D"	pigaljeanb002834	"artist,sculptor"			1	3	4	Jean Baptiste Pigalle	"Pigalle, Jean Baptiste"				http://en.wikipedia.org/wiki/Jean-Baptiste_Pigalle	22151695	http://viaf.org/22151695	upload.wikimedia.org/wikipedia/commons/thumb/4/49/Pigalle_H%C3%B4tel_de_Ville_Paris.jpg/200px-Pigalle_H%C3%B4tel_de_Ville_Paris.jpg			Artist		Academy of Rouen			Yes	Yes		Male	French	1/26/1714	1714	8/28/1785	1785	Paris	France	Paris	France
EE	distrfranc004446	diplomat	diplomat		3	0	3	François Michel Durand de Distroff	"Distroff, François Michel Durand de"	Yes								Government									Male	French	1714-00-00	1714	1778-00-00	1778		France		unknown
EE	duvaljacqu001459	"adventurer,traveller"			1	1	2	Jacques Duval d'Eprémesnil	"Duval d'Eprémesnil, Jacques"	Yes				121675182	http://viaf.org/121675182		Political economy	Government									Male	French	1714-00-00	1714	1767-00-00	1767		France		unknown
EE	mailldiane001118	aristocrat			1	0	1	"Diane de Mailly, duchesse de Villars-Brancas"	"Mailly, Diane de, duchesse de Villars-Brancas"	Yes	duchesse		http://en.wikipedia.org/wiki/Diane_Ad%C3%A9la%C3%AFde_de_Mailly			http://upload.wikimedia.org/wikipedia/commons/a/a0/Diane_Ad%C3%A9la%C3%AFde_de_Mailly-Nesle.jpg		"Elite, Aristocracy"								"Graffigny, Brancas, Richelieu_Arcueil"	Female	French	1714-00-00	1714	11/30/1769	1769		France		unknown
EE	dangemarie000845	actress			1	0	1	Marie Anne Dangeville	"Dangeville, Marie Anne"										"Artist, Cultural"								Female	French	1714-00-00	1714	1796-00-00	1796		France		unknown
EE	targejeanb003280	"historian,clockmaker,mathematician"			1	0	1	Jean Baptiste Targe	"Targe, Jean Baptiste"					64436469	http://viaf.org/64436469		"Letters_Literary, Sciences_Mathematical"		"Artisan, Education"		Académie royale de marine	Yes		Yes			Male	French	1714-00-00	1714	1788-00-00	1788	Orléans	France	Orléans	France
EE	durfolouis000989	"general,army officer,soldier,aristocrat"		high-ranking_general	0	1	1	"Louis de Durfort, duc de Lorges"	"Durfort, Louis de, duc de Lorges"	Yes	duc							"Aristocracy, Elite, Military"									Male	French	1714-00-00	1714				France		unknown
EE	fessaetien001550	engraver			0	1	1	Étienne Fessard	"Fessard, Étienne"					71457400	http://viaf.org/71457400				Artist								Male	French	1714-00-00	1714	1777-00-00	1777		unknown		unknown
EE	langecharl001092	"scholar,aristocrat"			0	1	1	"Charles Benjamin de Langes de Montmirail, baron de Lubières"	"Langes de Montmirail, Charles Benjamin de, baron de Lubières"	Yes	baron		http://fr.wikipedia.org/wiki/Charles-Benjamin_de_Lubi%C3%A8res			http://upload.wikimedia.org/wikipedia/commons/6/65/Jean-%C3%89tienne_Liotard_-_Portrait_des_Charles-Benjamin_de_Langes_de_Montmirail%2C_Baron_de_Lubi%C3%A8res.jpg	Letters_Antiquarian	Aristocracy								Encyclopedistes	Male	French	1714-00-00	1714	6/1/1790	1790	Berlin	Germany	Geneva	Switzerland
EE	mignoetien002548	"scientist,geographer,engineer"			0	3	3	Étienne Mignot de Montigny	"Mignot de Montigny, Étienne"	Yes				59388587	http://viaf.org/59388587		"Letters_Literary, Sciences"	Government	Other		Académie des sciences	Yes		Yes			Male	French	12/15/1714	1714	5/6/1782	1782		France		unknown
EE	rouvrlouis023130	"army officer,soldier,aristocrat"		officer	0	2	2	"Louis Gabriel Rouvroy de Saint-Simon, marquis de Saint-Simon-Montbléru"	"Rouvroy de Saint-Simon, Louis Gabriel, marquis de Saint-Simon-Montbléru"	Yes	marquis		http://fr.wikipedia.org/wiki/Claude-Anne_de_Rouvroy_de_Saint_Simon					"Military, Elite, Aristocracy"									Male	French	1714-00-00	1714	1775-00-00	1775		France		unknown
CNRS-D					0	0	0	"Renée-Caroline de Froullay, marquise de Créquy, marquise de Créqui, Renée-Caroline-Victoire de Froullay de Tessé, Marquise de Créquy"	"Créquy (Créqui), Renée-Caroline "	Yes	marquise							Aristocracy									Female	French	1714-00-00	1714	1803-00-00	1803	Saint-Denis-de-Gastines	 France	Paris	 France
"EE, CNRS-D"	helveclaud001934	"author,philosopher"			177	278	455	Claude Adrien Helvétius	"Helvétius, Claude Adrien"				http://en.wikipedia.org/wiki/Claude_Adrien_Helvétius	100185545	http://viaf.org/100185545	http://upload.wikimedia.org/wikipedia/commons/2/24/Claude_Adrien_Helv%C3%A9tius.jpg	"Letters_Philosophical, Letters_Literary"	"Government, Elite"			"Académie des sciences, Academy of Caen"	Yes				"Graffigny, Arnould, Geoffrin, Tencin_Vivienne, Entresol, Helvetius, Freemason, Quinault, Minette"	Male	French	1715-01-00	1715	12/26/1771	1771	Paris	France	Paris	France
EE	guypierr00001876	"printer,bookseller"			49	83	132	Pierre Guy	"Guy, Pierre"										Publishing								Male	French	4/6/1715	1715	4/9/1795	1795	Viols le Fort	France		unknown
EE	pierrfranc000887	"diplomat,government minister"	minister		65	57	122	"François Joachim de Pierres, cardinal de Bernis"	"Pierres, François Joachim de, cardinal de Bernis"	Yes		cardinal	http://en.wikipedia.org/wiki/François-Joachim_de_Pierre_de_Bernis	68925438	http://viaf.org/68925438	http://upload.wikimedia.org/wikipedia/commons/e/ea/Fran%C3%A7ois-Joachim_de_Pierre_de_Bernis.jpg	Letters_Literary	"Elite, Government, Aristocracy"		Catholic_High-ranking officials	"French Academy, Academy of Inscriptions"	Yes				"Dupin, Tencin, Geoffrin, Aiguillon"	Male	French	5/22/1715	1715	11/3/1794	1794	Saint-Marcel-d'Ardèche	France	Rome	Italy
EE	dompimarie000983	aristocrat			96	5	101	"Marie Élisabeth de Dompierre de Fontaine, marquise de Florian"	"Dompierre de Fontaine, Marie Élisabeth de, marquise de Florian"	Yes	marquise							Aristocracy									Female	French	1715-00-00	1715	1771-00-00	1771	Paris	France	Hornoy-le-Bourg	France
EE	riquevicto022973	"economist,aristocrat"			20	26	46	"Victor Riqueti, marquis de Mirabeau"	"Riqueti, Victor, marquis de Mirabeau"	Yes	marquis		"http://en.wikipedia.org/wiki/Victor_de_Riqueti,_marquis_de_Mirabeau"	27076884	http://viaf.org/27076884	upload.wikimedia.org/wikipedia/commons/thumb/8/81/Mirabeau_p%C3%A8re.jpg/220px-Mirabeau_p%C3%A8re.jpg	Political economy	"Aristocracy, Elite"			Academy of La Rochelle			Yes	Yes	"Tencin, Graffigny_dEnfer, Freemason"	Male	French	1715-00-00	1715	1789-00-00	1789	Pertuis	France	Argenteuil	France
EE	jolydjeano002102	magistrate	magistrate		20	9	29	Jean Omer Joly de Fleury	"Joly de Fleury, Jean Omer"	Yes								Government	Legal								Male	French	1715-00-00	1715	1810-00-00	1810		France		unknown
EE	clapiluc00002393	"army officer,soldier,essayist"		officer	17	8	25	"Luc de Clapiers, marquis de Vauvenargues"	"Clapiers, Luc de, marquis de Vauvenargues"	Yes	marquis		"http://en.wikipedia.org/wiki/Luc_de_Clapiers,_marquis_de_Vauvenargues"	64016636	http://viaf.org/64016636	upload.wikimedia.org/wikipedia/commons/thumb/f/fd/LucdeClapiers-marquisdeVauvenarges.jpg/220px-LucdeClapiers-marquisdeVauvenarges.jpg	Letters_Literary	"Military, Aristocracy, Elite"									Male	French	8/6/1715	1715	5/28/1747	1747	Aix-en-Provence	France	Paris	France
EE	astiehyaci023740	"army officer,soldier"		officer	1	17	18	"Hyacinthe Antoine d'Astier, seigneur de Cromessière"	"Astier, Hyacinthe Antoine d', seigneur de Cromessière"	Yes	seigneur							"Aristocracy, Military"									Male	French	7/13/1715	1715	4/12/1786	1786	Malaucène	France	Avignon	France
EE	lecomgaspa002243	"army officer,soldier,scientist"		officer	5	1	6	"Gaspard Le Compasseur Créqui-Montfort, marquis de Courtivron"	"Le Compasseur Créqui-Montfort, Gaspard, marquis de Courtivron"	Yes	marquis						"Sciences_Mathematical, Sciences"	"Military, Elite, Aristocracy"									Male	French	1715-00-00	1715	10/4/1785	1785		France	Courtivron	France
EE	noailphili002816	"general,army officer,soldier"		high-ranking_general	3	2	5	"Philippe de Noailles, duc de Mouchy"	"Noailles, Philippe de, duc de Mouchy"	Yes	duc		http://en.wikipedia.org/wiki/Philippe_de_Noailles_(1715–1794)	103737443	http://viaf.org/103737443			"Aristocracy, Elite, Military"									Male	French	12/27/1715	1715	6/27/1794	1794	Paris	France	Paris	France
EE	bonnoetien000968	philosopher			2	2	4	Étienne Bonnot de Condillac	"Bonnot de Condillac, Étienne"	Yes		abbé	http://en.wikipedia.org/wiki/Étienne_Bonnot_de_Condillac	9844868	http://viaf.org/9844868	http://upload.wikimedia.org/wikipedia/commons/8/8b/Etienne_Bonnot_de_Condillac.jpg	Letters_Philosophical			Catholic_Clergy	French Academy	Yes		Yes		"Dupin, Lespinasse, Geoffrin, Graffigny_dEnfer?"	Male	French	9/30/1715	1715	8/3/1780	1780	Grenoble	France		unknown
EE	terrajosep003290	"lawyer,government minister,civil servant"	minister		2	2	4	Joseph Marie Terray	"Terray, Joseph Marie"				http://en.wikipedia.org/wiki/Joseph_Marie_Terray	64147605	http://viaf.org/64147605	upload.wikimedia.org/wikipedia/commons/thumb/9/90/Terray%2C_Abb%C3%A9_Joseph_Marie.jpg/220px-Terray%2C_Abb%C3%A9_Joseph_Marie.jpg		"Elite, Government"	Legal								Male	French	12/9/1715	1715	2/18/1778	1778	Boën	France	Paris	France
EE	durfoemman000988	"courtier,general,army officer,diplomat,soldier,aristocrat"	diplomat	high-ranking_general	1	2	3	"Emmanuel Félicité de Durfort, duc de Duras"	"Durfort, Emmanuel Félicité de, duc de Duras"	Yes	duc		http://en.wikipedia.org/wiki/Emmanuel-Félicité_de_Durfort_de_Duras	73844917	http://viaf.org/73844917			"Government, Court, Military, Elite, Aristocracy"	Cultural								Male	French	12/19/1715	1715	9/6/1789	1789		France		unknown
EE	herrejeanf001949	economist			1	2	3	Jean Frédéric Herrenschwand	"Herrenschwand, Jean Frédéric"					10605073	http://viaf.org/10605073			Court	Medical								Male	French	4/28/1715	1715	6/1/1798	1798	Morat	Switzerland	Bern	Switzerland
EE	bouchjeanb024595	"civil servant,judge"	judge		1	0	1	Jean Baptiste Bouchaud Du Plessis	"Bouchaud Du Plessis, Jean Baptiste"									Government	Legal								Male	French	2/23/1715	1715			Nantes	France		unknown
EE	lepinjeana002159	clockmaker			1	0	1	Jean Antoine Lépine	"Lépine, Jean Antoine"										Artisan								Male	French	1715-00-00	1715	1777-00-00	1777		unknown		unknown
EE	dupinlouis023518	"scientist,chemist,financier,musician"			0	3	3	Louis Claude Dupin de Francueil	"Dupin de Francueil, Louis Claude"	Yes			http://fr.wikipedia.org/wiki/Louis_Dupin_de_Francueil			http://upload.wikimedia.org/wikipedia/commons/0/04/Claude_Dupin.jpeg	Sciences_Natural		"Artist, Finance-banking"							"Epinay, Quinault"	Male	French	11/7/1715	1715	6/6/1787	1787	Châteauroux	France		unknown
EE	angradenis023747	"politician,lawyer"			0	0	0	Denis François Angran d'Alleray	"Angran d'Alleray, Denis François"	Yes				4833695	http://viaf.org/4833695			"Government, Elite"	Legal								Male	French	1715-00-00	1715	4/28/1794	1794		France		unknown
EE	bailllouis024183	"poet,author,art critic"			0	1	1	"Louis Guillaume Baillet, baron de Saint-Julien"	"Baillet, Louis Guillaume, baron de Saint-Julien"	Yes	baron						Letters_Literary	Aristocracy									Male	French	1715-00-00	1715	1780-00-00	1780		unknown		unknown
EE	cochicharl023616	"engraver,draughtsman"			0	0	0	Charles Nicolas Cochin	"Cochin, Charles Nicolas"				http://en.wikipedia.org/wiki/Charles-Nicolas_Cochin	51687541	http://viaf.org/51687541	upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Charles-Nicolas_Cochin.jpg/220px-Charles-Nicolas_Cochin.jpg	Letters_Literary	Government	"Artist, Artisan"		Academy of Rouen			Yes	Yes	Geoffrin	Male	French	2/22/1715	1715	4/29/1790	1790	Paris	France	Paris	France
EE	delaraime0001261	printer			0	1	1	Aimé Delaroche	"Delaroche, Aimé"					34533962	http://viaf.org/34533962				Publishing								Male	French	1715-00-00	1715	1801-00-00	1801		France		unknown
EE	lefrajeang023371	churchman			0	0	0	"Jean Georges Le Franc de Pompignan, archevêque de Vienne"	"Le Franc de Pompignan, Jean Georges, archevêque de Vienne"	Yes		archevêque								Catholic_Clergy							Male	French	1715-00-00	1715	1790-00-00	1790		France		unknown
EE	massopierr002502	"poet,author"			0	1	1	Pierre Toussaint Masson	"Masson, Pierre Toussaint"								Letters_Literary									Graffigny_SaintAntoine?	Male	French	1715-00-00	1715				France		unknown
EE	rohancharl001181	"courtier,general,army officer,soldier,aristocrat"		high-ranking_general	0	1	1	"Charles de Rohan, prince de Soubise"	"Rohan, Charles de, prince de Soubise"	Yes	prince		"http://en.wikipedia.org/wiki/Charles,_Prince_of_Soubise"	66458681	http://viaf.org/66458681	upload.wikimedia.org/wikipedia/commons/thumb/d/df/Charles_de_Rohan-Soubise.jpg/220px-Charles_de_Rohan-Soubise.jpg		"Court, Military, Elite, Aristocracy"									Male	French	7/16/1715	1715	7/4/1787	1787	Versailles	France	Paris	France
EE	toussfranc004526	"journalist,translator"			0	2	2	François Vincent Toussaint	"Toussaint, François Vincent"				http://en.wikipedia.org/wiki/François-Vincent_Toussaint	56619317	http://viaf.org/56619317		Letters_Literary		Cultural							Encyclopedistes	Male	French	1715-00-00	1715	1772-00-00	1772		France		unknown
CNRS-D					0	0	0	"Marie-Thérèse Geoffrin, marquise de la Ferté-Imbault"	"La Ferté-Imbault, Marie-Thérèse"	Yes	marquise			171869898	http://viaf.org/171869898			"Elite, Aristocracy"								Geoffrin	Female	French	1715-00-00	1715	1791-00-00	1791	Paris	 France	Paris	 France
CNRS-D					0	0	0	Jean-Georges Lefranc de Pompignan	"Lefranc de Pompignan, Jean-Georges"	Yes			http://en.wikipedia.org/wiki/Jean_Georges_Lefranc_de_Pompignan	41913284	http://viaf.org/41913284					Catholic_High-ranking officials							Male	French	1715-00-00	1715	1790-00-00	1790				
CNRS-D					0	0	0	François Nau	"Nau, François"					46877926	http://viaf.org/46877926												Male	French	1715-00-00	1715						
EE	saintjeanf001197	"academy member,poet,author,philosopher"			113	12	125	"Jean François de Saint-Lambert, marquis de Saint-Lambert"	"Saint-Lambert, Jean François de, marquis de Saint-Lambert"	Yes	marquis		http://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_de_Saint-Lambert	71423453	http://viaf.org/viaf/71423453	http://upload.wikimedia.org/wikipedia/commons/d/d4/Jean-Fran%C3%A7ois_de_Saint-Lambert.jpg	"Letters_Literary, Letters_Philosophical"	"Aristocracy, Elite, Military"	Cultural		French Academy	Yes	Yes			"Holbach, Houdetot, Encyclopedistes, Epinay, Quinault, Geoffrin, Lespinasse, Necker_Clery, Graffigny_Luneville, Graffigny_dEnfer"	Male	French	12/26/1716	1716	2/9/1803	1803	Nancy	France		unknown
EE	chauvberna000621	"general,army officer,diplomat,soldier"	diplomat	high-ranking_general	33	1	34	Bernard Louis Chauvelin	"Chauvelin, Bernard Louis"									"Military, Government"									Male	French	3/1/1716	1716	11/24/1773	1773		France		unknown
"EE, CNRS-D"	rousspierr003043	"journalist,newspaper editor,publisher"			24	5	29	Pierre Rousseau	"Rousseau, Pierre"					160997437	http://viaf.org/160997437		Letters_Literary		"Cultural, Publishing"							Graffigny_dEnfer	Male	French	8/19/1716	1716	11/10/1785	1785	Toulouse	France	Paris	France
EE	larocmarie001057	aristocrat			5	17	22	"Marie Louise Nicole Élisabeth de La Rochefoucauld, duchesse d'Anville"	"La Rochefoucauld, Marie Louise Nicole Élisabeth de, duchesse d'Anville"	Yes	duchesse			2154640	http://viaf.org/2154640			"Elite, Aristocracy"								Lespinasse	Female	French	1716-00-00	1716	1797-00-00	1797		France		unknown
"EE, CNRS-D"	deschleger001291	freethinker			9	6	15	Léger Marie Deschamps	"Deschamps, Léger Marie"					14817936	http://viaf.org/14817936		Letters_Philosophical										Male	French	1/10/1716	1716	4/17/1774	1774	Rennes	France	Montreuil-Bellay	France
